公司名稱,公司代號,營業收入(百萬元),毛利率(%),營業利益率(%),稅前純益率(%),稅後純益率(%)
嘉聯益,6153,"12,977.47",14.92,3.98,4.15,2.96
華興,6164,703.00,26.09,-7.09,-4.64,-3.85
凌華,6166,"7,621.23",40.54,6.01,5.52,4.20
互億,6172,434.98,1.55,-0.30,2.22,2.03
達麗,6177,"5,899.34",26.00,16.92,14.34,13.54
大豐電,6184,"1,508.81",48.10,30.79,30.64,25.78
精成科,6191,"16,330.72",13.23,3.85,4.65,3.43
帆宣,6196,"17,544.08",10.66,3.34,3.94,2.94
亞弘電,6201,"2,541.24",20.51,8.74,10.49,8.36
詮欣,6205,905.07,28.63,7.06,13.67,11.27
今國光,6209,"2,545.94",4.61,-7.30,-5.14,-4.67
精誠,6214,"16,038.00",25.02,4.12,7.25,6.29
居易,6216,685.14,49.60,19.01,22.05,17.47
天瀚,6225,7.85,3.45,-132.77,-62.52,-62.52
超眾,6230,"6,230.84",22.30,12.01,12.65,9.43
力成,6239,"47,217.14",18.00,11.91,12.00,9.54
定穎,6251,"10,158.80",11.79,2.75,1.62,0.93
台郡,6269,"17,300.05",18.69,9.46,11.01,8.68
宏正,6277,"3,696.40",60.07,14.90,15.96,12.19
全國電,6281,"13,841.17",18.29,3.41,3.38,2.70
淳安,6283,826.40,20.25,0.62,7.93,4.44
聯嘉,6288,"3,154.69",19.57,5.54,6.51,5.08
悅城,6405,438.19,16.90,-2.75,-1.87,0.17
群電,6412,"25,531.95",16.25,6.57,6.60,5.23
矽力-KY,6415,"7,455.86",46.32,18.40,22.96,22.03
光麗-KY,6431,205.74,5.25,-13.59,-2.76,-4.22
元晶,6443,"3,433.66",6.35,-0.03,-2.14,-2.37
訊芯-KY,6451,"4,353.59",20.01,8.37,10.61,9.90
GIS-KY,6456,"85,719.18",8.30,1.72,2.45,2.56
安集,6477,"1,227.89",23.06,17.61,15.03,12.98
南六,6504,"4,834.71",18.31,10.10,11.92,7.62
捷敏-KY,6525,"2,575.16",30.95,22.46,25.39,19.86
晶心科,6533,361.65,99.80,0.81,1.97,1.57
易華電,6552,"2,346.01",31.12,23.51,24.28,19.40
虹揚-KY,6573,"1,292.02",7.01,-9.09,-5.46,-5.99
鋼聯,6581,"1,286.76",48.99,36.54,36.83,28.31
動力-KY,6591,849.00,23.89,8.99,11.42,7.53
帝寶,6605,"11,549.24",26.31,8.43,6.21,4.96
基士德-KY,6641,"1,435.30",38.61,12.43,15.08,11.73
羅麗芬-KY,6666,"1,027.14",69.42,40.44,45.28,35.21
緯穎,6669,"114,046.04",6.77,4.70,4.65,3.70
三能-KY,6671,"1,359.55",36.81,10.41,12.61,8.63
鋐寶科技,6674,"2,282.99",13.08,0.34,0.69,0.83
惠特,6706,"2,909.28",29.53,11.62,12.64,9.94
台通,8011,"1,059.24",10.55,-7.47,-10.67,-12.23
尖點,8021,"2,201.05",27.72,9.79,10.92,8.01
雷虎,8033,618.30,37.07,-4.07,-1.17,-0.94
南電,8046,"22,318.99",3.37,-1.77,0.16,0.13
陞泰,8072,584.82,11.07,-14.36,-11.25,-11.90
華冠,8101,"1,567.15",11.04,-24.63,-4.29,-4.29
錸寶,8104,"1,308.32",16.36,1.14,6.31,5.94
華東,8110,"4,875.06",-3.06,-8.97,-0.39,0.13
振樺電,8114,"7,303.33",34.27,9.99,8.01,5.40
南茂,8150,"14,766.40",18.01,10.54,15.94,13.91
無敵,8201,904.37,14.62,-7.00,-4.63,-4.65
志超,8213,"16,490.33",14.51,6.63,7.22,5.22
寶一,8222,599.03,20.26,5.81,9.38,7.50
